Geographic area,Indicator,Residence,Sex,Current age,Unit of measure,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,Observation Status,Observation confidentaility,DATA_SOURCE,COVERAGE_TIME,Time interval at which the source data are collected,TIME_PERIOD_METHOD,OBS_FOOTNOTE
South Africa,Total population,Total,Total,Total,Persons,Thousands,,,2018,57792.518,,,UNPD2019,,,,
Zimbabwe,Total population,Total,Total,Total,Persons,Thousands,,,2018,14438.802,,,UNPD2019,,,,
Spain,Total population,Total,Total,Total,Persons,Thousands,,,2018,46692.858,,,UNPD2019,,,,
South Sudan,Total population,Total,Total,Total,Persons,Thousands,,,2018,10975.927,,,UNPD2019,,,,
Sudan,Total population,Total,Total,Total,Persons,Thousands,,,2018,41801.533,,,UNPD2019,,,,
Suriname,Total population,Total,Total,Total,Persons,Thousands,,,2018,575.99,,,UNPD2019,,,,
Eswatini,Total population,Total,Total,Total,Persons,Thousands,,,2018,1136.281,,,UNPD2019,,,,
Sweden,Total population,Total,Total,Total,Persons,Thousands,,,2018,9971.638,,,UNPD2019,,,,
Switzerland,Total population,Total,Total,Total,Persons,Thousands,,,2018,8525.611,,,UNPD2019,,,,
Syrian Arab Republic,Total population,Total,Total,Total,Persons,Thousands,,,2018,16945.057,,,UNPD2019,,,,
Tajikistan,Total population,Total,Total,Total,Persons,Thousands,,,2018,9100.835,,,UNPD2019,,,,
Thailand,Total population,Total,Total,Total,Persons,Thousands,,,2018,69428.453,,,UNPD2019,,,,
Togo,Total population,Total,Total,Total,Persons,Thousands,,,2018,7889.093,,,UNPD2019,,,,
Tokelau,Total population,Total,Total,Total,Persons,Thousands,,,2018,1.319,,,UNPD2019,,,,
Tonga,Total population,Total,Total,Total,Persons,Thousands,,,2018,103.197,,,UNPD2019,,,,
Trinidad and Tobago,Total population,Total,Total,Total,Persons,Thousands,,,2018,1389.843,,,UNPD2019,,,,
United Arab Emirates,Total population,Total,Total,Total,Persons,Thousands,,,2018,9630.959,,,UNPD2019,,,,
Tunisia,Total population,Total,Total,Total,Persons,Thousands,,,2018,11565.201,,,UNPD2019,,,,
Turkey,Total population,Total,Total,Total,Persons,Thousands,,,2018,82340.088,,,UNPD2019,,,,
Turkmenistan,Total population,Total,Total,Total,Persons,Thousands,,,2018,5850.901,,,UNPD2019,,,,
Turks and Caicos Islands,Total population,Total,Total,Total,Persons,Thousands,,,2018,37.665,,,UNPD2019,,,,
Tuvalu,Total population,Total,Total,Total,Persons,Thousands,,,2018,11.508,,,UNPD2019,,,,
Uganda,Total population,Total,Total,Total,Persons,Thousands,,,2018,42729.036,,,UNPD2019,,,,
Ukraine,Total population,Total,Total,Total,Persons,Thousands,,,2018,44246.156,,,UNPD2019,,,,
North Macedonia,Total population,Total,Total,Total,Persons,Thousands,,,2018,2082.957,,,UNPD2019,,,,
Egypt,Total population,Total,Total,Total,Persons,Thousands,,,2018,98423.598,,,UNPD2019,,,,
United Kingdom,Total population,Total,Total,Total,Persons,Thousands,,,2018,67141.684,,,UNPD2019,,,,
United Republic of Tanzania,Total population,Total,Total,Total,Persons,Thousands,,,2018,56313.438,,,UNPD2019,,,,
United States,Total population,Total,Total,Total,Persons,Thousands,,,2018,327096.265,,,UNPD2019,,,,
Burkina Faso,Total population,Total,Total,Total,Persons,Thousands,,,2018,19751.466,,,UNPD2019,,,,
Uruguay,Total population,Total,Total,Total,Persons,Thousands,,,2018,3449.285,,,UNPD2019,,,,
Uzbekistan,Total population,Total,Total,Total,Persons,Thousands,,,2018,32476.244,,,UNPD2019,,,,
Venezuela (Bolivarian Republic of),Total population,Total,Total,Total,Persons,Thousands,,,2018,28887.118,,,UNPD2019,,,,
Samoa,Total population,Total,Total,Total,Persons,Thousands,,,2018,196.129,,,UNPD2019,,,,
Yemen,Total population,Total,Total,Total,Persons,Thousands,,,2018,28498.683,,,UNPD2019,,,,
Zambia,Total population,Total,Total,Total,Persons,Thousands,,,2018,17351.708,,,UNPD2019,,,,
